기준_년분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액
20254,골목상권,문래예술촌(문래창작촌),일식음식점,72000000,1135,43754426,28245574,32617079,37386086,397795,31871730,28309618,4956865,3560908,906250
20254,전통시장,"동원전통종합시장(동원시장, 동원전통시장 상점가)",제과점,403587258,35702,296623457,106963801,148753021,206352251,1208997,21856176,53109822,59729058,93829146,125372074
20254,골목상권,논현초등학교,조명용품,7642610,514,6717064,925546,4917391,1936791,0,111408,1739684,2757785,274236,1971069
20254,골목상권,효창공원앞역 2번,커피-음료,152118126,18646,109238146,42879980,37410366,111809731,1490497,35929650,51376283,29217015,19177595,12029057
20254,전통시장,무학봉상점가,철물점,12171197,46,2419064,9752133,9941212,24380,0,0,0,20317,46860,9898415
20254,발달상권,여의도역(여의도),화장품,1857885301,38668,1390793141,467092160,657692709,933203833,9225778,281325966,486300590,402301984,256573719,155168503
20254,발달상권,노량진역(노량진),수산물판매,1148993825259,13299388,702979967421,446013857838,593622758684,368756136564,1118585864,101894366341,205599236387,163868180468,191816788897,298081737292
20254,골목상권,신중초등학교,커피-음료,22191768,3297,21053813,1137955,10163040,10375767,0,4208672,4059591,8457363,2530625,1282558
20254,골목상권,서울역 15번,반찬가게,1851935,490,1188034,663901,943439,908496,0,0,1607340,244595,0,0
20254,골목상권,서울역 15번,여관,7268457,99,7268457,0,7268457,0,0,1955257,0,2238629,2238628,835943
20254,골목상권,대림한신아파트,가전제품수리,2574181,180,0,2574181,0,2574181,0,0,2574181,0,0,0
20254,골목상권,서울역 15번,분식전문점,148250692,12046,122394386,25856306,78155531,47846881,312306,12959117,34790199,39314303,24118152,14508333
20254,발달상권,상봉역,일식음식점,2565945735,43190,1591846656,974099079,1291357762,1159631808,41609053,524438460,538114021,460063626,513919932,372844479
20254,발달상권,코엑스,편의점,975234246,191568,802358718,172875528,494427575,306990904,7938444,165604671,276603717,186700418,118397901,46173328
20254,발달상권,둔촌역,노래방,242480049,34449,155040538,87439511,155481900,81041611,16873313,60108201,55658957,46140409,30433493,27309137
20254,전통시장,창동골목시장,미용실,26661407,935,16434230,10227177,9413648,17247759,305627,158083,1484270,4952903,9688022,10072502
20254,전통시장,영등포전통시장,인테리어,122717393,848,117371897,5345496,11503430,99915921,0,0,0,0,10926783,100492568
20254,골목상권,고척초등학교,슈퍼마켓,810428,98,623406,187022,748087,62341,0,187022,311703,124681,0,187022
