"동별(1)",동별(2),동별(3),2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07,2026. 07
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",성북구,길음2동,8649,21513,10242,11271,21370,10183,11187,143,59,84
"합계",성북구,종암동,17200,39048,18937,20111,36678,18019,18659,2370,918,1452
"합계",성북구,월곡1동,10580,24659,11792,12867,24368,11684,12684,291,108,183
"합계",성북구,월곡2동,9636,19168,8947,10221,18389,8666,9723,779,281,498
"합계",성북구,장위1동,10592,22762,11074,11688,22496,10964,11532,266,110,156
"합계",성북구,장위2동,7826,16034,7816,8218,15650,7653,7997,384,163,221
"합계",성북구,장위3동,7678,18882,9195,9687,18710,9136,9574,172,59,113
"합계",성북구,석관동,16661,34074,16696,17378,32719,16009,16710,1355,687,668
"합계",강북구,소계,142731,285130,135907,149223,277695,133427,144268,7435,2480,4955
"합계",강북구,삼양동,11712,24467,11959,12508,24209,11871,12338,258,88,170
"합계",강북구,미아동,11793,21088,9913,11175,20058,9587,10471,1030,326,704
"합계",강북구,송중동,13550,28049,13291,14758,27163,12922,14241,886,369,517
"합계",강북구,송천동,12109,23185,11343,11842,22646,11125,11521,539,218,321
"합계",강북구,삼각산동,11523,29917,14287,15630,29816,14251,15565,101,36,65
"합계",강북구,번1동,9673,17088,8238,8850,15914,7824,8090,1174,414,760
"합계",강북구,번2동,7366,14295,6789,7506,14124,6727,7397,171,62,109
"합계",강북구,번3동,7514,15395,7066,8329,15328,7047,8281,67,19,48
"합계",강북구,수유1동,10471,19817,9580,10237,19228,9409,9819,589,171,418
"합계",강북구,수유2동,9661,20021,9413,10608,19749,9330,10419,272,83,189
"합계",강북구,수유3동,13582,23863,11212,12651,22221,10735,11486,1642,477,1165
"합계",강북구,우이동,9654,19578,9269,10309,19339,9183,10156,239,86,153
"합계",강북구,인수동,14123,28367,13547,14820,27900,13416,14484,467,131,336
"합계",도봉구,소계,139158,301279,144875,156404,298067,143743,154324,3212,1132,2080
"합계",도봉구,창1동,10562,22854,10782,12072,22592,10676,11916,262,106,156
"합계",도봉구,창2동,12765,27770,13357,14413,27436,13226,14210,334,131,203
"합계",도봉구,창3동,6337,12657,6296,6361,12535,6254,6281,122,42,80
"합계",도봉구,창4동,11310,25954,12327,13627,25836,12279,13557,118,48,70
"합계",도봉구,창5동,10327,23387,11061,12326,23225,11003,12222,162,58,104
"합계",도봉구,도봉1동,10266,19534,9763,9771,19343,9692,9651,191,71,120
"합계",도봉구,도봉2동,11876,25776,12456,13320,25627,12391,13236,149,65,84
"합계",도봉구,쌍문1동,9787,20980,9786,11194,20485,9704,10781,495,82,413
"합계",도봉구,쌍문2동,8429,17485,8370,9115,17228,8232,8996,257,138,119
"합계",도봉구,쌍문3동,8207,16231,7655,8576,15870,7553,8317,361,102,259
"합계",도봉구,쌍문4동,7097,17623,8279,9344,17557,8261,9296,66,18,48
"합계",도봉구,방학1동,13242,28094,13815,14279,27718,13668,14050,376,147,229
"합계",도봉구,방학2동,9031,17642,8806,8836,17398,8703,8695,244,103,141
"합계",도봉구,방학3동,9922,25292,12122,13170,25217,12101,13116,75,21,54
"합계",노원구,소계,217438,485931,231676,254255,480549,229537,251012,5382,2139,3243
"합계",노원구,월계1동,10321,21050,10721,10329,20183,10340,9843,867,381,486
"합계",노원구,월계2동,11579,24714,11784,12930,24508,11699,12809,206,85,121
"합계",노원구,월계3동,12804,27739,13130,14609,27563,13073,14490,176,57,119
"합계",노원구,공릉1동,18940,36038,17291,18747,35160,16925,18235,878,366,512
"합계",노원구,공릉2동,18038,41623,19951,21672,40661,19644,21017,962,307,655
"합계",노원구,하계1동,12137,25844,12251,13593,25144,11933,13211,700,318,382
"합계",노원구,하계2동,7583,19505,9254,10251,19453,9238,10215,52,16,36
"합계",노원구,중계본동,7847,22027,10613,11414,21964,10590,11374,63,23,40
"합계",노원구,중계1동,8924,25835,12610,13225,25742,12579,13163,93,31,62
"합계",노원구,중계4동,8102,18666,8989,9677,18473,8847,9626,193,142,51
"합계",노원구,중계2.3동,14900,31168,14048,17120,31044,14007,17037,124,41,83
"합계",노원구,상계1동,15670,36006,17198,18808,35830,17128,18702,176,70,106
"합계",노원구,상계2동,8564,18726,9178,9548,18509,9096,9413,217,82,135
"합계",노원구,상계3.4동,12292,26493,13114,13379,26367,13074,13293,126,40,86
"합계",노원구,상계5동,10849,22130,10684,11446,21965,10636,11329,165,48,117
"합계",노원구,상계6.7동,13729,30268,13782,16486,30097,13716,16381,171,66,105
"합계",노원구,상계8동,9106,21279,10048,11231,21214,10036,11178,65,12,53
"합계",노원구,상계9동,8303,18913,8785,10128,18835,8761,10074,78,24,54
"합계",노원구,상계10동,7750,17907,8245,9662,17837,8215,9622,70,30,40
"합계",은평구,소계,214903,457565,215730,241835,453056,214001,239055,4509,1729,2780
"합계",은평구,녹번동,17533,35446,16596,18850,35046,16425,18621,400,171,229
"합계",은평구,불광1동,16280,33851,15815,18036,33607,15693,17914,244,122,122
"합계",은평구,불광2동,14179,26353,12606,13747,26086,12512,13574,267,94,173
"합계",은평구,갈현1동,7198,14081,6715,7366,13925,6662,7263,156,53,103
"합계",은평구,갈현2동,12750,26852,12617,14235,26577,12508,14069,275,109,166
"합계",은평구,구산동,13548,30743,14827,15916,30529,14743,15786,214,84,130
"합계",은평구,대조동,15536,27253,12449,14804,26859,12318,14541,394,131,263
"합계",은평구,응암1동,15140,32228,14903,17325,31894,14780,17114,334,123,211
"합계",은평구,응암2동,10942,26954,12961,13993,26723,12864,13859,231,97,134
"합계",은평구,응암3동,12528,23269,11143,12126,22695,10915,11780,574,228,346
"합계",은평구,역촌동,21355,44684,20847,23837,44235,20683,23552,449,164,285
"합계",은평구,신사1동,12106,25981,12278,13703,25755,12200,13555,226,78,148
"합계",은평구,신사2동,9055,19565,9574,9991,19343,9506,9837,222,68,154
"합계",은평구,증산동,6592,15290,7318,7972,15149,7258,7891,141,60,81
"합계",은평구,수색동,8599,21261,10211,11050,21076,10130,10946,185,81,104
