리뷰내용,추천수
비오는 날 차귀도도  한없이 좋더이다 #제주차귀도  #나의 천국,5
#한림공원 #한림읍 #제주소녀 #엄샤 #꽃구경 #인생샷 #인생샷명소 #먹이주기체험 #유아동반 #가족여행 #도민추천 #필수코스 #공원 #휴일나들이 #나들이,5
#에메랄드 #협재 #협재해변 #바다 #제주 #휴식,5
#올레길_7코스 #해안산책로,5
#사람은꽃보다아름다워,5
예쁜바다 앞 예쁜카페멘또롱 또똣 촬영지이기도 해서 유명한곳사진 찍을 포토타임이 많아 추천드려요,5
"황우지해안과 선녀탕을 도보로 갈 수 있어서 좋습니다.근처 천지연폭포, 새연교 야경도 좋아요.^^",5
,4
땅콩아이스크림,4
#모구리야영장 #캠핑 #텐트,4
십년지기 친구들과 우도에서,4
,4
,4
,4
#눈부신_모래 #산호해수욕장 #바닷빛깔,4
#휴양하기_좋은곳 #힐링 #피톤치드_듬뿍,4
,4
새별오름에서 십년지기 친구들과,4
#광치기해변 #유채꽃,4
#해비치호텔 #오션뷰 #스위트룸 #일출 #놓치지않을거에요,4
#바다#제주도여행#함덕해수욕장,4
"12월에 친구들과 동백꽃 보러갔다가 위미리 애기동백꽃에 물들어 진분홍빛을 두 달간 가슴에 담고 살았다. 3월이 되자마자 유채꽃에 노랗게 물들고 싶어 성산 광치기 해변으로 달려갔다. 덤으로 보리 밭에서 무릎관절에 무리가 가는줄도 모르고 껑충껑충 뛰놀고, 성산일출봉과 섭지코에서 '바람, 꽃, 바다, 제주 내음을 한아름 안고 돌아와 3월 끝자락에 함덕해변에서 친구와 동막골 소녀들이 전해주는 제주의 봄소식에 4월의 제주를 그리워하고 있다.'애쓰지 않아도, 노력하지 않아도 그냥 좋은 제주'벌써부터 설레인다.^^*",4
#해비치해변 #물속비치 #sea스루,4
애월 바다보며 먹는 피쉬 앤 칩스예쁜 애월 바다가 보여 더 좋았어요양이 엄청 많네요 맛도 괜찮아요,4
,4
제주도 속 동남아 애매랄드빛 바다 휴양지를 즐기고 싶으시다면 바로 여기!주변에 서우봉 둘레길과 맛집들 그리고 예쁜 카페들이 몰려있어 휴양하기에는 추천드릴만한 곳인거 같네요.,4
검은 모래알 해변으로 유명한 <광치기 해변>은 한눈에 보이는 성산일출봉과 이색적인 느낌의 제주해변을 보고 싫으시다면 추천드립니다.,4
제주 중문 호텔들 사이에 뷰맛집으로 유명한 <더 클리프> 카페에서 바라본 중문 해변 뷰를 담아봤습니다. 낮에는 맛난브런치와 저녁에는 펍카페로 바뀌어 신나는 음악과 선셋을 바라보며 칵테일이나 맥주를 즐길수 있는 뷰맛집입니다.,4
"제주도 속 작은 동남아같은 애매랄드빛 바다와 뷰맛집 카페이자, 드라마 촬영지로도 유명한 카페 델문도 야경 뷰를 담아보았습니다.",4
제주도를 좋아해서 자주가는 편인데 지민이덕에 누웨마루거리가 있다는걸 알게되었어요.이번엔 포토존가보고 쭉 둘러봤는데 다음엔 더 자세히 둘러보고싶네요.좋은 추억 만들수있는 제주.너무좋아요,4
"하늘 높이 치솟은 나무들로 인해, 도시생활로 지친 심신을 자동 정화되듯 산책하며 걷기좋은 포토스팟 샤려니숲길 입니다.",4
