리뷰내용,추천수
 신창풍차해안도로의 일몰을 보고 싶었는데  비가 조금 내려서  달리는 차 안에서  창을 내리고 풍차의 모습을 담았다.나름 운치가 있었다.#제주지방기상청 #제주날씨#장소명,1
2번.2000원성춘식당 추천합니다.찐 도민맛집 ,1
정답은 2번 2000원.제주 24시뼈다귀탕 이도점 추천합니다.뼈다귀탕 한 그릇에 9천원하는데 고기도 많고 국물도 맛있어요. 고기잡내도 없고 한 그릇먹으면 엄청 든든해요. ,1
제주도용두암---인어동상입니다 여행중추억에남는장소입니다,1
<신산도깨비축제> 제주의 토속문화와 결합한 독특한 도깨비 축제가 너무 신기했고 아이들도 우리 전통적인 캐릭터로서 도깨비에 대해 재미있어 하고 신기해 했던 좋은 시간이었어요! 행사 내내 많은 이벤트가 있었는데 다 다양하고 특색있어서 보는 재미가 있었습니다~ ,1
와흘메밀마을!! 메밀밭도 넓고 아름답고 4-5월이 개화시기여서 너무 좋아요!! 제주도에는 메밀밭이 많은데 그 중에서도 가장 아름답고 한라산을 배경으로 한 중간중간 오래된 고목들이 더욱 호젓하게 느껴지는 그런 곳입니다,1
"< 제주 스노쿨링 명소 판포포구 바다 >뽕따를 풀어놓은 색감으로 이름난 판포포구 바다에 방문해서 바다 감상후 떠나려던 찰나 예쁜 커플분들의 뒷모습을 보고 예쁜 뒷모습을 담아드렸고,커플분들이 사진을 보고 진심어리게 좋아해주시는 모습에 마음에 따뜻함 한스푼 받은 날?",1
청보리와 유채꽃 보러 가파도 다녀왔어요! 청보리 유채꽃에 푸른 바다♡ 노랑노랑~ 초록초록~ 봄봄봄한 제주였어요^^ 집 식탁에도 후리지아 한단 사와서 꽂아두니 더 봄이 온 것 같아요. 이번 가파도에서 봄이 더 아름다워지는 이유인 것 같습니다. ㅎㅎ,1
핑크뮬리랑 사진도 찍고 넓어서 다른 볼거리도 많아서 좋았습니다아기 흑돼지들 정말 귀엽고 당근 주기도 재미있었습니다,1
올 초에 간 제주도 카멜리아 힐! 예쁜 꽃 들과 귀엽게 꾸며진 장소들과 돌하르방을 보며 행복했던 기억이 학교 생활로 지칠 때 떠오르며 좋은 추억으로 남았습니다. 이런 점이 제주도 여행의 매력이 아닐까요?! 예쁜 곳에 와서 맛있는 것을 먹으며 잠시 현실을 잊고 행복해지는 시간~,1
제가 정말 좋아하고 사랑했던 오조포구!! 가 드라마땜에 유명해져서 넘 좋아요!! ????정말 조용하고 은은한 매력이 넘쳤던곳이에요혼자 와서 생각하기도 좋은곳 이죠~~앞으로도 많은 분들이 찾아주면 좋겠어요!!,1
"삼다공원 콘서트 추천합니다^^문화적으로 풍성한 제주도를 만드는 중요한 행사로 자리잡은 만큼 앞으로도 많은 관심과 지원하에운영되었으면 좋겠어요. 플리마켓, 길거리음식과 함께 소상공인과의 협력도 계속 유지 되었으면 좋겠구요~ ",1
"야간콘서트 보러 3번째 방문했어요엠씨분께서 너무 재밌게 분위기 잘 띄워주셔서 계속 오고싶었는데 5월 17일 공연에서 아티스트를 대하는 태도가 너무 불편했어요. 첫 순서 분이랑 바로 뒷 분이랑무대를 비교하는 말투, 조롱하는 듯한 언행이 아티스트에게 무례했다고 생각이 들어요,, 물론 계속 분위기를 띄워야 하는 역할이니까 어떤 말이라도 해야해서 생각을 깊게 못했을 수도 있지만 그 위치에 있는 만큼 무게감을 가지셨으면 좋겠어요:) 수고 많으세요^^",1
한해를 보내면서 일출과 일몰 명소가 두루있는 제주해안과 오름들...다시금 방문 하고 싶네요. 구두미포구의 일출도 좋았고 신창리풍차해안의 일몰도 환상이었습니다,1
신창풍차해안도로,1
유민미술관에서 본 성산 일출봉,1
공항을 나와 처음 마주하는 가장 설레는 뷰 !,1
숲속에 떨어진것만 같은 꿈같은 공간 ,1
아침 성산일출봉을 보기 위해 근처로 숙소를 잡고 혼자 아침 산책을 했어요! 출근하신 해녀분들도 보고 아름다운 윤슬에 멀리 보이는 우도까지! 너무 좋은 추억으로 남았답니다 ..♡,1
처음 혼자 여행을 떠나 처음으로 도착한 목적지,1
지나가다가 우연히 본 책방옛날에 보던 책방인데 요즘 많이 없어져서 그런지 더 반가웠어요 :),1
"홀로 떠난 제주 동쪽, 다랑쉬 오름에서 만난 일출. // 갈대와 구름과 해가 같이 춤추던 날 ",1
"낭만이 가득한 제주도 속 스누피가 든 이야기 들어보실래요? 귀여운 캐릭터를 좋아하신다면 연인 혹은 가족들과 꼭 와보세요! 저 또한 스누피를 정말 좋아해서 혼자서 와봤는데 귀엽고 아기자기한 소품들과 다양한 음료, 디저트 그리고 스누피만의 아이스크림까지 정말 맛있었어요. 실내에서 즐길 수 있고 실외에서도 볼거리가 정말 다양해서 1~2시간은 꼭 생각해서 오셔야 해요. 예쁘고 아기자기한 인생 샷들도 남기고, 가족들과의 즐거운 추억, 그리고 여름에는 아름다운 수국들까지 꼭 구경하셨으면 좋겠어요.",1
"카약을 타러 방문했던 제주의 쇠소깍.노를 젓는 일이 생각보다 힘들었지만, 하천을 따라 구경하는 제주의풍경이 너무 아름다웠습니다.마침 날씨도 너무 좋아서 인생샷도 건졌네요!!제주에 다시 간다면 또 갈 관광지에요>_<!",1
"여름이 다가오면 마음이 설레는데, 이번 여름에는 제주도의 아름다운 중문해수욕장을 방문하기로 마음먹었었어요. 깨끗한 바다, 신선한 고기, 그리고 마음을 풀어줄 수 있는 힐링의 시간을 기대하며 출발했죠.첫날, 중문해수욕장의 미소에 반하다첫날, 중문해수욕장에 도착했을 때 눈앞에 펼쳐진 푸른 바다에 숨이 멎을 정도로 아름다움에 감동을 받았어요. 백사장은 햇살을 받아 반짝이며 파도는 부드럽게 밀려오는데, 이곳은 정말로 천국 같은 곳이었죠.해수욕장에서는 다양한 수상 활동도 즐길 수 있었고요, 제주도에서만 느낄 수 있는 신선한 바다 공기를 마시며 바다 위를 부드럽게 미끄러지듯 이동하는 피서지 기차에 타 보았어요. 시원한 바다 바람을 맞으며 끝도 없이 펼쳐진 파란 대양을 바라보는 것은 정말로 감동적이었습니다.두 번째 날, 햇볕 한 톨 없이 맑은 하늘 아래, 맛있는 고기 속으로두 번째 날, 중문해수욕장 주변의 해안도로를 따라 가면서 아름다운 풍경을 만끽하며 이동했었는데, 바다와 함께하는 고요한 드라이브는 마음을 정화시키는 느낌이었어요.도로 가장자리에는 작은 식당들이 있었는데, 이곳에서는 신선한 고기를 맛볼 수 있었어요. 특히, 현지인들이 소중히 다루는 고기 요리는 맛의 깊이와 신선함으로 가득했어요 입안이 행복했었답니다.마지막 날 바다와 이야기를 나누다여행의 마지막 날, 아침 일찍 일어나 중문해수욕장을 거닐었어요.조용한 바닷가에서 물결 소리를 들으며 마음을 가다듬었어요.대학에서 만난 인생의 단짝과 함께 그림자 사진도 찍고자랑하기 바쁘기도 했었죠.이 여행은 정말로 마음을 담담히 쉬게 해주는 특별한 경험이었어요. 중문해수욕장의 아름다운 풍경, 신선한 고기, 그리고 마음을 담담히 정화시킬 수 있는 시간들이 모여 만들어진 여행은 나에게 큰 힐링이 되었습니다. 제주도의 아름다움과 푸른 바다의 매력에 물든 이번 여행은 나에게 오랜 기억으로 남게 될 거에요.",1
"도두봉에서 이호테우해변으로 가는 길에 이런 귀여운 해안도로가 있다니ㅠ 제주도를 몇번을.. 왔었는데 그동안 이 귀여운 해안도로를 몰랐다는 제가 너무 슬펐어요!!그냥 걷기에도 바다가 너무 깨끗하고 시원해서 좋고~가족, 친구들과 같이 사진 찍기에도 너무 좋은 곳이었습니당 ㅎㅎ",1
외도의 대형카페! 카페 건물 자체도 너무 예뻤지만 카페에서 잠깐 나오면 보이는 외경이 너무너무 예뻤어서 다음에 또 제주도에 간다면 방문하고 싶은 카페.,1
"여행을 하며 비 오기만을 기다린 적은 처음이었습니다. 일부러 비 오는 날 사려니 숲길을 방문 했습니다. 비 오는 소리, 흙 냄새, 발 소리로 가득 찬 사려니 숲길이 줬던 감동은 잊지 못할 것 같습니다. 비 오는 날 실내로 들어가기 보단 숲으로 나오셔서 자연을 온전히 느껴보세요!!",1
제주라프(Light Art Flash)는 Light(빛)를 매개로 한 세계적인 예술작품들을 선보이는 아트 페스티벌이다.매개체로서의 Light(빛)는 밝기와 색채 등 그 형태가 주는 무궁무진함으로 인해 신비롭고 환상적이며 때로는 경외감을 주고 우리의 상상력을 자극한다.,1
올 1월 설연휴에 3대가  제주도에 처음으로 갔는데 눈이 엄청 와서 제대로 여행은 못했지만 저희가족들은 이 또한 잊지못할 추억이라생각하며 실내위주로 다녔는데 만족합니다.다시 또 가고싶습니다,1
"2번 2,000원! 송림반점 추천해요 노포의 느낌인데 음식은 깔끔하고 맛있고 가격도 착해요~",1
제주 신창풍차해안도로의 멋진 풍경과 제주의 맑은 하늘이 함께하니 탄성이 절로 나올정도로 멋지더라고요 드라마로 다시한번 보고 싶네요,1
"저는 안돌오름 근처에 위치한 비밀의 숲에 다녀왔어요.하늘로 높게 뻗은 나무들이 빼곡히 가득한 숲 속에서좋은 공기와 힐링 분위기를 느낄 수 있는 곳이었어요.숲을 거닐다 보면 드넓은 벌판도 만날 수 있었고요,돌로 된 집 안에서는 그림같이 예쁜 창문 너머의 풍경이 보였어요.비밀의 숲은 키다리 나무들에 둘러싸여 온전히 숲의 공기만 느낄 수 있어서,숲이 나를 감싸 안아준다는 느낌을 받았어요.제주에 온다면 꼭 추천할 만한 장소입니다.",1
비온뒤 안개낀 관음사의 모습도 멋있더라구요~운치와 진한 숲향기가 더해져 더욱더 멋진모습!!,1
제주살이 5년차에 처음 다녀와본 가파도의 모습은 너무 예뻤어요... 본섬이랑은 또 다른매력이 있던 가파도!! 청보리랑 유채꽃의 조화덕에 걷기만해도 힐링 그잡채였습니다...!!,1
"국수, 국물, 고기가 완벽한 조화를 이룹니다! 고기냄새안나고 깔끔한데 맛있어요~ 제가 먹어본 고기국수 중에 제일 맛있어요! 제주도 오면 또 가고 싶을 것 같아요!",1
도토리키친 추천합니다! 더울 때 킥보드 타고 탑동쪽 돌아다니다가 소바 먹으니까 너무 시원하고 맛있드라구요! 그리고 그냥 소바만 있는 것도 아니고 청귤소바!!! 제주도에 귤 농사를 많이 하시니 청귤도 많잖아요~ 그 청귤 가지고 소바 만드니까 더 상큼시원하고 맛있었어요! 유부초밥에는 톳도 들어가서 보기에도 예쁘고 맛도 있었어요! 어느 하나 부족한게 없어서 너무 추천합니당!,1
"밀크티 맛집으로 유명한 ""카페 진정성 종점'추천 포토존 3곳을 알려드릴게요!1. 건물 옆 벤치2. 건물 앞 나무 or 길게 이어진 통나무 벤치3. 카페 건너편 해안도로(LA분위기를 느낄 수 있어요)",1
특별한 기념일에 가기 좋은 제주드림타워!제주시내가 한눈에 보여요!빙수 또는 애프터눈티와 함께 즐거운 시간 보낼 수 있는 곳!,1
미디어아트를 감상할 수 있는 '노형수퍼마켙'실내관광지로 남녀노소 누구나 즐길 수 있는 공간!,1
http://blog.naver.com/dayzee__?Redirect=Log&logNo=222927087040&from=postView 버킷리스트였던 한라산 등반! 제주의 아름다움을 만끽할 수 있었던 시간,1
엄마랑 둘이 성산일출봉!!!!아침엔 안개로 뒤덮여 잘 안보였던 성산일출봉이 저희가 막 올라가려고 하니까 파란하늘이 점점 나왔어요!! 뜻밖의 하늘에 넘 신나서 엄마랑 저랑 사진을 마구 찍었답니다!제주도 여러번 오면서 성산일출봉을 멀리서 보기만했는데 왜 이제서야 와봤는지!!!!,1
"   결혼 40주년을 맞이하여 꿈에 그리던 제주도 한달 살기 여행(2023.4.8.- 5.7.)을 시작하여 14일째 되던 날(2023.4.22.), 서귀포시 서홍동에 위치한 아름다운 절경을 자랑하는 '외돌개'를 찾아 즐거움을 만끽하며 멋진 포즈를 취하고 있는 사랑하는 아내와의 추억어린 사진입니다.",1
2023.08.04 노을??,1
정답:2번??그시절그짬뽕??추천합니다!! 비양도 가기전에 근처 식사할만한곳을 찾다가 우연히 가본곳인데 너무너무 친절하시고 위생도 깨끗하고 너무 맛있게 잘 먹었어요 !! 못 가본 사람 없게 해주세요 ~~~~,1
"2023.08.02 선녀탕, 소천지에 비해 알려지지 않은 명소",1
풍차를 좋아해서 자주 가는 신창풍차해안도로!!웰컴투삼달리덕에 빛내림을 틴들현상이라고 하는걸 알게되었네요ㅎㅎ,1
매년 더 새롭고 다양한 공연을 볼 수 있는 삼다공원 야간콘서트를 칭찬합니다! 많은 사람들이 몰렸는데도 안전요원분들이 힘써주셔서 너무 질서있고 안전하게 감상할 수 있었어요. 내년도 기대됩니다!,1
운치있었던 새별오름,1
너무 더워서 실내에서 관광하는것도 너무 좋았어요!! 여기서 사진 제일 많이 찍은거 같아요!! 리얼촬영!!,1
맥에서 2개 구입하면 추가 10% 3개 구입하면 추가15% 래서 열심히 구입했답니다! 곳곳에 추가 할인되는 곳이 있으니 놓치지마세요,1
백록담이 나를 허락하다,1
혼자 유럽여행을 떠나게 되서 오랫동안 못 볼 남자친구와 함께 제주도 3박 4일!이때가 5월이라니 시간 참 빨라요 남자친구와 알콩달콩 예쁘게 잘 만나고 있습니다 좋아요 우리! 좋아요 제주!,1
영상을 보니 마음이 두근두근! 보는 것만으로도 힐링이 되네요! ㅇ작년 한라산을 오르려다 폭설로 가지 못했네요. 아쉬움을 달래기 위해 아이와 사라봉을 올랐는데 눈이 덮혀있는 제주는 참 아름다웠어요. 며칠 후 한라산 둘레길을 걸었는데 마음이 편안해지며 힐링이 되더라구요!늘 그리운 제주. 제주는 참 포근합니다^^ 아이와 케익을 먹으며 제주를 추억하고 싶오용!!,1
신선로해물떡볶이??,1
힘들게 버스타고 찾아간 곳!! 역시 키티는 사랑입니다!! 어린이들도 좋고 어른들도 좋아요!!,1
전복볶음밥 천혜향쥬스,1
즐거운 오전 한때!!! 무더운 여름이었으나 너무 시원했어요!!!,1
어머니랑 너무 즐거웠던 제주도 1일차같이 찍은 사진은 많으나 이사진이 제일 이쁘게나와서 이것만 올려요~,1
"남자친구랑 날씨 따뜻한 날 해바라기 보러 다녀왔어요.무료로 대여가능한 자전거 타고 예쁜 길, 바람, 따스한 제주를 또 한번 느낄 수 있었어요. :)",1
,1
이런 멋진 풍경을 영상으로만 볼 순 없죠.아이들이 어려서 겨울여행은 생각해본적이 없는데 모험 한번 해볼까싶네요^^,1
아름다운 제주도 민박1박2일에도 나왔다네요친절한 민박집,1
,1
,1
너무 이른시간이라서 사람이 없어서 요런 이쁜사진도 찍을수 있었어요!! 모래도 까맣고 사람 발자국도 없고!! 모래에 엄마랑 둘이온 추억을 남겨요!!,1
공항 근처 가볼만한 곳 이호테우해변 때마침 일몰 시간과 맞아서 멋진 풍경 감상. 하늘도 무척이나 멋졌던 날,1
,1
튀김을 잘하는 집인듯 흑돼지튀김이 맛있었던곳다음에는 새우튀김을 먹어봐야지 엄청큰새우가통째로 들어있던데,1
정말 아름다운 자연의 선물! 쇠소깍!!,1
운정이네 토속음식점 갈치조림을 먹으러간곳갈치원없이 먹은듯. 음식도 깔끔하고 밑반찬 가짓수가 많아서 카메라에 다 안담길정도,1
언니들과 사려니숲에서 찰칵~! 제주2박3일여행중에 사려니숲이 가장 이뻣다는 큰언니ㅋㅋ수국이 폈을때오면 더더 이쁠것같았다는,1
미니기차를 타고 아름다운 자연을 만난다는거!! 완전 신난다는거!!,1
,1
몽상드애월에서 바라본 애월의 풍경빠져든다 빠져든다 ,1
"즐거웼던 제주 여행, 사진을 보니, 또 가고 싶네요. ^^",1
해안도로에서 바라본 바다,1
다시 가고 싶은 제주도 볼거리가 정말 많아요. ^^,1
제주여행 10월12일~11월8일#송악산풍경 #화산송이 #절벽해안 #일몰,1
색달해변 두 사진인 다른날짜 이지만.. 장소는 같은 곳이기에..ㅎㅎ,1
,1
제주는 사랑입니다,1
여행의 마지막 코스,1
혼자라도 괜찮아 푸른바다가 있으니까,1
하.. 담에는 꼭 남자친구랑 와야겠다!!,1
여기 미역이 엄청 많아요!! 모래도 진짜 깨끗하지만 미역천국!! 미역국 끓여먹구싶다!!,1
맑은 물빛 하늘빛 하얀파도까지 아름다운 자연의 조화가 일품입니다커피한잔 마시며 해변을 걸으며 가을의 낭만을 만끽해보세요^^,1
귤이 주렁주렁 ??,1
돔베고기와 멸치고기국수는 진리??,1
중문 맛집!코르소 정말 맛있어요!!차돌박이파스타&하와이돼지불밥 추천:)!!!,1
오설록 음... 맛 좋다볼건 그리 없다사람이 너무 많아요,1
아름다운 김녕성세기 해변,1
중문관광단지 내 사진들 입니다.,1
섭지코지에 드라마 올인 촬영지가 있었더라고요~어렸을적 올인 정말재밌게봐서 아직도 기억나는데드라마에 나오던 성당이 저렇게 귀엽게바뀌었더라고요 ㅋㅋ올라오다보면 초원에 말들이 풀뜯어먹고있고... 참 진귀한 광경이었어요 ㅋㅋㅋㅋㅋㅋ,1
에메랄드빛 바다.. 크.. 너무 즐거웠어요ㅠㅠ 또가고싶다ㅠㅠ,1
한라산 안의 오아시스!! 사라오름 사라오름의 입구에 도착하기 까지 한라산의 숨겨진 보물을 찾으러가는 원정대가 된 것 같았고 마지막에 찾은 보물은 자연의 경이로움과 한라산의 새로운 매력을 느끼게 해 주었습니다.^^,1
,1
제주가 좋아요아끈표 억새 때문에 더 좋아요 맑은 하늘이 기분을 thelove 게 좋게 만들어 줬어요,1
제주의 자연의 아름다움에 감탄!감성폭팔 유발섬 우리가 더 많이 아껴주자고요!!^^,1
제주 여행 중 가장 황홀했던 순간.해수욕하러 바다에 갔더니. 일몰보고 취해 하룻밤 더 청하게 되었다.,1
친구랑들 이랑 배고파서 메인메뉴 나오는 것들만 사진찍고폭풍 흡입해서 위에 사진만 있는게 아쉽네요ㅠㅜ식사를 다하고 후식으로 커피와 쥬스를 줘서 다먹고 집으로 왔어요 ㅎㅎㅎ,1
흐린날 한라산은 절경은 없지만 신비함은 최고다!,1
중문에서 버스로 한시간 반 거리인 금능해변  많은 사진은 없지만 .... 좋은 추억은 많다.,1
개축학개론을 재미있게보았다.꼭 와보고 싶었던곳_예쁘긴한데 커피맛은 내입맛에 별로사진찍기 좋아요낮보단 밤이더 분위기 있어요.,1
중문에서 한시간 반 을 버스로 이동 바람은 많이 불었지만 해가 나와있어서 좋은 날 이였다..,1
사진속 설명을 보고 알게된 친환경적 낚시법멸치가 많이 잡힌다해서 맬튼개라 했다 적혀있다..,1
"추웠지만, 예뻤음.",1
핑크뮬리,1
쇠소깍 쪽 예쁜카페이름이 생각 안나네요맛도 좋았어요^^주차공간좋구 넘 예쁨!,1
위치 좋고 건물 예뻤던 미르 게스트하우스!,1
비오는 세화에서 미엘커피와 당근케이크로 쉬어가기,1
"올 해 구정...제주도로의 여행..눈이 와서 걱정했지만, 눈 온 제주도는 우리아이에게 또다른 제주도의 기억을 남겨주었습니다.말로만 듣던 현지인들만 아는 눈썰 매장!!마방목지.. 자연눈이 너무 이쁘게 쌓여 아이들이 타기좋은 언덕에...다행히 트럭아저씨가 나와주신 덕분에 눈썰매를 즐겼습니다. 바로 온 눈 덕에 눈사람도 너무 잘 만들어졌어요~겨울의 제주도는 춥다는 편견을 훌훌 털어버린 멋진 추억입니다.지금도 우리딸이 눈오면 다시 가고 싶다고 말할 정도로 인상깊었습니다.",1
"아이와의 체험은 항상 좋은 기억을 남깁니다.여행에서의 체험은 무엇보다 훗날 어른이 되었을때 좋은 느낌을 남기리라 믿습니다.아빠와의 연만들기, 연날리기...둘의 추억이 또하나 쌓였습니다.",1
겨울 바다가 이렇게 눈부신것은 처음입니다.눈오고 난 바닷가는 더욱 푸른 빛을 띄네요..우리 가족의 겨울바다..가 추운 느낌이 아니라 더 빛나서 아름다운 추억,1
카멜리아힐 인증샷!여자친구는 굉장히 이쁘게나왔는데 전 엽기스럽네요 ㅋㅋㅋㅋ각종 꽃과 식물들이 정말 예뻐요~ 몸이 건강해지고 눈호강도 할 수 있어요!제주도 여행온 연인들에게는 필수코스일듯!,1
그저 하루종일 있다가 오고 싶은 곳,1
노을,1
월정리해변의 마스코트죠?의자 포토존!!처음엔 여기가 그렇게 유명한곳인지모르고.. 사람들이 여기앉아서 많이 찍고있길래 저희도 찍어보았는데 친구들이 여기가 제주도가면 꼭 찍는다는 그런 핫한 포토존이라하더라고요 ㅋㅋㅋ 뜻밖의 개이득!?,1
새연교,1
이번 1월 폭설로 다들 난감할 때 저도 제주로 여행을 갔어요.일정을 취소하고 이틀을 비행기표가 없어 발을 동동 굴렸던 기억이 나네요그래도운 좋게 폭설이 내리기전 사라오름 전망대에서 시원함을 만끽할 수 있었습니다*.* 이렇게 인생사진도 얻었고요~ 시원함과 짜릿함이 느껴지시나요 ㅎ,1
"오설록 녹차밭 구경하고 건물내부도 구경하고~ 카페에서 녹차롤케익과 녹차라떼, 녹차아이슈크림 먹었습니다~ 완전완전맛있어요~^^",1
아빠와 아들의 뒷모습이 포근한 비자림하고 넘나 어울리죠?,1
가을에 꼭 어울리는 남자.가을남자.추남.,1
인간과 숲의 콜라보레이션.,1
덩쿨과 사람.덩쿨맨.,1
탑승전 티켓,1
협재해변이 바로 눈앞에 보이는 탁 트인 2층 테라스가 있는 카페 쉼표입니다. 사진에 보이는 흑돼지핫도그가 인기메뉴라고 하더라구요~ 여기 카페는 정말 한번 들어가면 나가고싶지않을 정도의 풍경이 있는 곳입니다!! 나만 알고싶어지는 그런.. 조용하고 아름다운 곳이에요~ 강력추천합니다♡,1
사랑분식의 궁물떡볶이 달달한 추억의 그맛특히 사랑식은 김밥 떡볶이 만두를 한번에 즐길 수 있고 가성비가 짱임,1
다시가고싶은 제주,1
여태까지봤던 갈새중에 가장아름다웠고 꿈같은 풍경을 선사해준 아끈다랑쉬오름!다랑쉬오름보다 낮아서 올라가기도 쉬웠어요,1
언젠가 사진에 푹 빠져있을때 찾았던 제주의 이호테우해변그땐 일년에 몇번이나 제주를 찾았었는데.....kbs 생생정보통 미스터리가 간다에서도 소개했던 바로 그사진.... 해변가에서 샘솟는 짠맛없는 우물에서 자연에 신비함과 제주사람들에 삶에 지혜를 느껴본다,1
마치 영화속 한장면같은 느낌을 주는 아쿠아 플라넷! 주위를 둘러싼 갈대도 정말 아름 다워요!,1
여행 마지막 날 간 월정리해변이에요~~조카가 사진찍어준다고 해서 앉으라는곳에 앉앗죠할머니.손뻗으라고 이것 저것 시키고..찍힌 사진을 봣더니 너무 예쁜거잇죠똑같이 저도 찍어줫어요~~ 너무 예쁘죠??,1
,1
아모레~~드림특약점~~2박3일카운셀러20명과신나는나들이저희집나왔어요^^신~~~~나지말입니다드림홧팅^^,1
몽상드애월에서 이색음료 마시며 지디를 이야기하며 바라보는 바다가 너무 낭만적이고 아름다웠어요♡ 바다 풍경이 유리만으로도 인테리어를 완벽에 가까운 건축물로 만드는 1등 공신이 아닐까 싶네요,1
,1
텅빈 마음처럼,1
옆에서 투명 카약도 탔는데 풍경도 예쁘고 재밌었어요 한라봉 쥬스도 한잔,1
쌍둥이회집은 친절하고 잘나오기로 워낙 유명한 곳이죠??끊임없이 나와서 정작 더 많은 음식은 찍지도 못했네요ㅎㅎ어른도 아이도 모두 만족하는 회집으로 추천합니다특히 직원들이 넘나 친절한것!!,1
입장료없이 곳곳이 포토존이 되었던 곳 ,1
성산에 위치한 더포그레이스리조트에서 2박을 했습니다!연박을 예약할 경우 2인조식권이 주어지고요이번 제주여행은 오롯이 아이들을 위한 여행이었는데방이 열리는 순간 함성과 함께 행복해하는 아이들을 보니 이 리조트를 선택한것에 대해 무척 큰 만족을 했답니다아이와 함께가는 리조트 적극추천합니다!,1
갑자기 소나기가 왔지만 우비 입고 잘 구경했어요,1
두 딸을 위해 찾아갔던 코코몽에코파크!엄마아빠가 오히려 멋진풍경에 힐링할수 있었네요온가족이 행복할수있는 관광지로 추천합니다!,1
,1
공주님이라면 꼭 들러야할 필수코스죠!!두 딸 뿐만 아니라 엄마도 함께 행복!! 곳곳에 체험도 할수있으니 놓치지마세요!,1
태교여행♡ 아이에게 좋은곳 보여주려고 힘들지만 올라갔어요^^,1
,1
,1
,1
전 외국핵생이니까 한국에 있을땐 좋은 추억을 많이 남기고 싶은데요.,1
좋아하는 대평리 마을바라보는 것 만으로도 힐링??,1
가슴이  시원스트레스야  가라,1
힐링의 시간.바쁜일상으로 부터 선물처럼 다가온 시간.충전 100000%하고 일상으로 돌아왔다^^,1
"비오던 아침 사려니 숲길로 갔습니다.비가오니 더 운치있고,색이 진득하니 너무 좋았습니다.",1
해가 저물어가는 시간.황금빛으로 물들어갈때 쯤.따스한 느낌이 좋음 섭지코지입니다.,1
"길가다 우연히 마주친 왕따나무.생각도 못했는데, 이런게 계획없이 네비없이 다니는재미인게 분명하다.",1
제주도 해안도를따라 한바퀴 다 돌았어요.그 중에서 하나를 뽑자면형제해안도로 입니다. 너무 좋아서 들판에 누워 낮잠 자다가 왔네요.,1
애월해안도로는넘실대는 파도와 깍아내리는 절벽이 이어져 있어요.넋놓고 파도가 바위에 부셔지는 모습만 봐도마음은 힐링이됩니다,1
,1
뜻밖의 맛집이었던 표선 아모르키친,1
눈부시게 맑은날,1
따뜻했던 그곳,1
올레길에서 바라본 바다,1
성산에 위치한 정육식당입니다리조트 직원에게 흑돼지식당 여쭈어보니 망설임없이 알려주시더라고요식육식당이라 직접 고기를 사서 구워먹는 시스템이고요상차림비는 있지만 대체로 밑반찬도 맛있는 편이었습니다,1
,1
숲길에서,1
우도 넘나 예쁜것세젤예♡♡,1
힐링~나만의 시간^^숨막히게  열심히  일한  일상으로부터 여유로움을 찾아 떠난  가을 여행^^,1
아이들과 행복했던시간들^^,1
숲길잎구로 가는 길목,1
제주의 첫날 섭지코지의 해녀밥상의 해산물은 최고 였습니다.,1
백록담 안내,1
,1
,1
,1
자전거타고 제주일주 중 월정리와 하나가 되다...,1
엄청나게 맑은물! 선녀가 목욕 했을 것같은 신비한 느낌,1
,1
아침부터 줄서서 기다려 타게된 카약풍경이 넘나 멋진것,1
유난히도 더웠던 올해 여름날 ~~웨딩촬영비 아끼고그돈으로 제주도로 여행 왔었던 이제는 부부가 된 우리~장소부터 의상 소품 헤어 다 셀프~~푹푹 찌는 한여름~ 어느 누구의 도움없이~삼각대에 의지해서 땀뻘뻘흘리면서 엄청나게 고생했답니다.인제 결혼한지 한달만에 첫애기가 생겨 여행이고 뭐고 꼼짝달싹 못하게 된 지금~그때 비싼 웨딩 스튜디오 비용 안들이고 제주도 가서 좋은 추억 잘 남기고 왔단 생각 드네용~ 안정기가 되면~뱃속 아가와~태교여행으로 제주도에서 셀프만삭사진 찍어야겠어요~지금은 넘나 추운날씨지만 푹푹쪗던 여름날의 푸른 제주도 사진을 보면 몸도 마음도 훈훈 해지네요,1
제주는 사랑입니다,1
드라이브하다 한컷담아내기,1
제주는 사랑입니다~,1
제주도를 갓으니 흑돼지는 꼭 먹어봐야겟죠? 멜젓에 찍어서 먹어봣어요 너무 맛이 좋앗죠부드럽고 쫄깃해서 여자 넷이 배 터지게 먹엇어요~~계란찜도 나왓는데 어린 조카가 반해버린 맛 ㅋ옆에서 고기 구워주셔서 편하게 먹을수잇엇네요,1
"오후 쯤, 해가 슬슬 떨어지는 시간이라면 종달리 카페동네의 당근빙수가 생각이 나네요.",1
무더운 오설록,1
제주도 여행하면 꼭 가고싶엇던 곳 중의 하나리치망고우리동네에 꼭 생겻으면 합니다.. 너무맛잇엇어요~ 시럽맛이아닌 리얼망고가 진하게..♡,1
풍랑주의보엿던 제주도의 아침에자고일어나서 따끈한 국수 한젓갈 하니 속이 따뜻해서좋앗어요육수도 담백하고 고기가 야들야들 잡내도 없고..생각보다 고기도 많이 들어서 좋앗어요 든든한 아침이 되엇답니다,1
